micro_hab_data_tbl_id,location_table_id,transect_code,fish_data_id,date,count,species,fl_mm,dist_to_bottom,depth,focal_velocity,velocity,surface_turbidity,percent_fine_substrate,percent_sand_substrate,percent_small_gravel_substrate,percent_large_gravel_substrate,percent_cobble_substrate,percent_boulder_substrate,percent_no_cover_inchannel,percent_small_woody_cover_inchannel,percent_large_woody_cover_inchannel,percent_submerged_aquatic_veg_inchannel,percent_undercut_bank,percent_no_cover_overhead,percent_cover_half_meter_overhead,percent_cover_more_than_half_meter_overhead,channel_geomorphic_unit
18,11,0.1,21,2001-03-14,2,chinook salmon,35,1,17,0.94,0.22,20,0,40,20,30,10,0,75,15,0,10,0,100,0,0,glide
18,11,0.1,22,2001-03-14,3,chinook salmon,35,1.5,17,0.16,0.22,20,0,40,20,30,10,0,75,15,0,10,0,100,0,0,glide
18,11,0.1,23,2001-03-14,1,steelhead trout (wild),25,1.5,17,0.16,0.22,20,0,40,20,30,10,0,75,15,0,10,0,100,0,0,glide
19,11,0.2,NA,2001-03-14,0,NA,NA,NA,19,NA,0.35,30,0,50,40,10,0,0,100,0,0,0,0,100,0,0,glide
20,11,0.3,NA,2001-03-14,0,NA,NA,NA,11,NA,1.95,30,0,25,75,0,0,0,100,0,0,0,0,100,0,0,glide
21,11,0.4,NA,2001-03-14,0,NA,NA,NA,12,NA,2.14,30,0,0,80,20,0,0,100,0,0,0,0,100,0,0,glide
22,11,3.1,25,2001-03-14,3,steelhead trout (wild),25,1,11,0.18000001,1.19,10,0,70,30,0,0,0,10,20,40,30,0,100,0,0,glide margin
23,11,3.2,NA,2001-03-14,0,NA,NA,NA,10,NA,1.54,10,0,30,50,20,0,0,100,0,0,0,0,100,0,0,glide
24,11,3.3,NA,2001-03-14,0,NA,NA,NA,8,NA,1.26,10,0,0,60,40,0,0,100,0,0,0,0,100,0,0,glide
25,11,3.4,11,2001-03-14,1,chinook salmon,40,0.5,9,0.50999999,1.97,10,0,0,70,30,0,0,100,0,0,0,0,100,0,0,glide
