micro_hab_data_tbl_id,channel_original,date
991,NA,2001-07-11
992,NA,2001-07-11
993,NA,2001-07-11
994,NA,2001-07-11
995,NA,2001-07-11
996,NA,2001-07-11
997,NA,2001-07-11
998,NA,2001-07-11
999,NA,2001-07-11
1000,NA,2001-07-11
1001,NA,2001-07-11
1002,NA,2001-07-11
1003,NA,2001-07-11
1004,NA,2001-07-11
1005,NA,2001-07-11
1006,NA,2001-07-11
1007,NA,2001-07-11
1008,NA,2001-07-11
1009,NA,2001-07-11
1010,NA,2001-07-11
1011,NA,2001-07-11
1012,NA,2001-07-11
1013,NA,2001-07-11
1014,NA,2001-07-11
1015,NA,2001-07-11
1016,NA,2001-07-11
1017,NA,2001-07-11
1018,NA,2001-07-11
1019,NA,2001-07-11
1020,NA,2001-07-11
1021,NA,2001-07-11
1022,NA,2001-07-11
1023,NA,2001-07-11
1024,NA,2001-07-11
1025,NA,2001-07-11
1026,NA,2001-07-11
1027,NA,2001-07-11
1028,NA,2001-07-11
1029,NA,2001-07-11
1030,NA,2001-07-11
1031,NA,2001-07-11
1032,NA,2001-07-11
1033,NA,2001-07-11
1034,NA,2001-07-11
1035,NA,2001-07-11
1036,NA,2001-07-11
1037,NA,2001-07-11
1038,NA,2001-07-11
1039,NA,2001-07-11
1040,NA,2001-07-11
1041,NA,2001-07-11
1042,NA,2001-07-11
1043,NA,2001-07-11
1044,NA,2001-07-11
1045,NA,2001-07-11
1046,NA,2001-07-11
1047,NA,2001-07-11
1048,NA,2001-07-11
1049,NA,2001-07-11
1050,NA,2001-07-11
1051,NA,2001-07-11
1052,NA,2001-07-11
1053,NA,2001-07-11
1054,NA,2001-07-11
1055,NA,2001-07-11
1056,NA,2001-07-11
1057,NA,2001-07-11
1058,NA,2001-07-11
1059,NA,2001-07-11
1060,NA,2001-07-11
1061,NA,2001-07-11
1062,NA,2001-07-11
1207,NA,2001-07-12
1208,NA,2001-07-12
1209,NA,2001-07-12
1210,NA,2001-07-12
1211,NA,2001-07-12
1212,NA,2001-07-12
1213,NA,2001-07-12
1214,NA,2001-07-12
1215,NA,2001-07-12
1216,NA,2001-07-12
1217,NA,2001-07-12
1218,NA,2001-07-12
1219,NA,2001-07-12
1220,NA,2001-07-12
1221,NA,2001-07-12
1222,NA,2001-07-12
1223,NA,2001-07-12
1224,NA,2001-07-12
1225,NA,2001-07-12
1226,NA,2001-07-12
1227,NA,2001-07-12
1228,NA,2001-07-12
1229,NA,2001-07-12
1230,NA,2001-07-12
1231,NA,2001-07-12
1232,NA,2001-07-12
1233,NA,2001-07-12
1234,NA,2001-07-12
1235,NA,2001-07-12
1236,NA,2001-07-12
1237,NA,2001-07-12
1238,NA,2001-07-12
1239,NA,2001-07-12
1240,NA,2001-07-12
1241,NA,2001-07-12
1242,NA,2001-07-12
1243,NA,2001-07-12
1244,NA,2001-07-12
1245,NA,2001-07-12
1246,NA,2001-07-12
1247,NA,2001-07-12
1248,NA,2001-07-12
1249,NA,2001-07-12
1250,NA,2001-07-12
1251,NA,2001-07-12
1252,NA,2001-07-12
1253,NA,2001-07-12
1254,NA,2001-07-12
1255,NA,2001-07-12
1256,NA,2001-07-12
1257,NA,2001-07-12
1258,NA,2001-07-12
1259,NA,2001-07-12
1260,NA,2001-07-12
1261,NA,2001-07-12
1262,NA,2001-07-12
1263,NA,2001-07-12
1264,NA,2001-07-12
1265,NA,2001-07-12
1266,NA,2001-07-12
1267,NA,2001-07-12
1268,NA,2001-07-12
1269,NA,2001-07-12
1270,NA,2001-07-12
1271,NA,2001-07-12
1272,NA,2001-07-12
1273,NA,2001-07-12
1274,NA,2001-07-12
1275,NA,2001-07-12
1276,NA,2001-07-12
1277,NA,2001-07-12
1278,NA,2001-07-12
1495,NA,2001-06-19
1496,NA,2001-06-19
1497,NA,2001-06-19
1498,NA,2001-06-19
1499,NA,2001-06-19
1500,NA,2001-06-19
1501,NA,2001-06-19
1502,NA,2001-06-19
1503,NA,2001-06-19
1504,NA,2001-06-19
1505,NA,2001-06-19
1506,NA,2001-06-19
1507,NA,2001-06-19
1508,NA,2001-06-19
1509,NA,2001-06-19
1510,NA,2001-06-19
1511,NA,2001-06-19
1512,NA,2001-06-19
1513,NA,2001-06-19
1514,NA,2001-06-19
1515,NA,2001-06-19
1516,NA,2001-06-19
1517,NA,2001-06-19
1518,NA,2001-06-19
1519,NA,2001-06-19
1520,NA,2001-06-19
1521,NA,2001-06-19
1522,NA,2001-06-19
1523,NA,2001-06-19
1524,NA,2001-06-19
1525,NA,2001-06-19
1526,NA,2001-06-19
1527,NA,2001-06-19
1528,NA,2001-06-19
1529,NA,2001-06-19
1530,NA,2001-06-19
1603,NA,2001-06-11
1604,NA,2001-06-11
1605,NA,2001-06-11
1606,NA,2001-06-11
1607,NA,2001-06-11
1608,NA,2001-06-11
1609,NA,2001-06-11
1610,NA,2001-06-11
1611,NA,2001-06-11
1612,NA,2001-06-11
1613,NA,2001-06-11
1614,NA,2001-06-11
1615,NA,2001-06-11
1616,NA,2001-06-11
1617,NA,2001-06-11
1618,NA,2001-06-11
1619,NA,2001-06-11
1620,NA,2001-06-11
1621,NA,2001-06-11
1622,NA,2001-06-11
1623,NA,2001-06-11
1624,NA,2001-06-11
1625,NA,2001-06-11
1626,NA,2001-06-11
1627,NA,2001-06-11
1628,NA,2001-06-11
1629,NA,2001-06-11
1630,NA,2001-06-11
1631,NA,2001-06-11
1632,NA,2001-06-11
1633,NA,2001-06-11
1634,NA,2001-06-11
1635,NA,2001-06-11
1636,NA,2001-06-11
1637,NA,2001-06-11
1638,NA,2001-06-11
1891,NA,2001-06-12
1892,NA,2001-06-12
1893,NA,2001-06-12
1894,NA,2001-06-12
1895,NA,2001-06-12
1896,NA,2001-06-12
1897,NA,2001-06-12
1898,NA,2001-06-12
1899,NA,2001-06-12
1900,NA,2001-06-12
1901,NA,2001-06-12
1902,NA,2001-06-12
1903,NA,2001-06-12
1904,NA,2001-06-12
1905,NA,2001-06-12
1906,NA,2001-06-12
1907,NA,2001-06-12
1908,NA,2001-06-12
1909,NA,2001-06-12
1910,NA,2001-06-12
1911,NA,2001-06-12
1912,NA,2001-06-12
1913,NA,2001-06-12
1914,NA,2001-06-12
1915,NA,2001-06-12
1916,NA,2001-06-12
1917,NA,2001-06-12
1918,NA,2001-06-12
1919,NA,2001-06-12
1920,NA,2001-06-12
1921,NA,2001-06-12
1922,NA,2001-06-12
1923,NA,2001-06-12
1924,NA,2001-06-12
1925,NA,2001-06-12
1926,NA,2001-06-12
1928,NA,2001-06-12
1929,NA,2001-06-12
1930,NA,2001-06-12
1931,NA,2001-06-12
1932,NA,2001-06-12
1933,NA,2001-06-12
1934,NA,2001-06-12
1935,NA,2001-06-12
1936,NA,2001-06-12
1937,NA,2001-06-12
1938,NA,2001-06-12
1939,NA,2001-06-12
1940,NA,2001-06-12
1941,NA,2001-06-12
1942,NA,2001-06-12
1943,NA,2001-06-12
1944,NA,2001-06-12
1945,NA,2001-06-12
1946,NA,2001-06-12
1947,NA,2001-06-12
1948,NA,2001-06-12
1949,NA,2001-06-12
1950,NA,2001-06-12
1951,NA,2001-06-12
1952,NA,2001-06-12
1953,NA,2001-06-12
1954,NA,2001-06-12
1955,NA,2001-06-12
1956,NA,2001-06-12
1957,NA,2001-06-12
1958,NA,2001-06-12
1959,NA,2001-06-12
1960,NA,2001-06-12
1961,NA,2001-06-12
1962,NA,2001-06-12
2548,NA,2001-05-22
2549,NA,2001-05-22
2550,NA,2001-05-22
2551,NA,2001-05-22
2552,NA,2001-05-22
2553,NA,2001-05-22
2554,NA,2001-05-22
2555,NA,2001-05-22
2556,NA,2001-05-22
2557,NA,2001-05-22
2558,NA,2001-05-22
2559,NA,2001-05-22
2560,NA,2001-05-22
2561,NA,2001-05-22
2562,NA,2001-05-22
2563,NA,2001-05-22
2564,NA,2001-05-22
2565,NA,2001-05-22
2566,NA,2001-05-22
2567,NA,2001-05-22
2568,NA,2001-05-22
2569,NA,2001-05-22
2570,NA,2001-05-22
2571,NA,2001-05-22
2572,NA,2001-05-22
2573,NA,2001-05-22
2574,NA,2001-05-22
2575,NA,2001-05-22
2576,NA,2001-05-22
2577,NA,2001-05-22
2578,NA,2001-05-22
2579,NA,2001-05-22
2580,NA,2001-05-22
2581,NA,2001-05-22
2582,NA,2001-05-22
2583,NA,2001-05-22
2584,NA,2001-05-22
2585,NA,2001-05-22
2586,NA,2001-05-22
2587,NA,2001-05-22
2588,NA,2001-05-22
2589,NA,2001-05-22
2590,NA,2001-05-22
2591,NA,2001-05-22
2592,NA,2001-05-22
2593,NA,2001-05-22
2594,NA,2001-05-22
2595,NA,2001-05-22
2596,NA,2001-05-22
2597,NA,2001-05-22
2598,NA,2001-05-22
2599,NA,2001-05-22
2600,NA,2001-05-22
2601,NA,2001-05-22
2602,NA,2001-05-22
2603,NA,2001-05-22
2604,NA,2001-05-22
2605,NA,2001-05-22
2606,NA,2001-05-22
2607,NA,2001-05-22
2608,NA,2001-05-22
2609,NA,2001-05-22
2610,NA,2001-05-22
3151,NA,2001-08-22
3152,NA,2001-08-22
3153,NA,2001-08-22
3154,NA,2001-08-22
3155,NA,2001-08-22
3156,NA,2001-08-22
3157,NA,2001-08-22
3158,NA,2001-08-22
3159,NA,2001-08-22
3160,NA,2001-08-22
3161,NA,2001-08-22
3162,NA,2001-08-22
3163,NA,2001-08-22
3164,NA,2001-08-22
3165,NA,2001-08-22
3166,NA,2001-08-22
3167,NA,2001-08-22
3168,NA,2001-08-22
3169,NA,2001-08-22
3170,NA,2001-08-22
3171,NA,2001-08-22
3172,NA,2001-08-22
3173,NA,2001-08-22
3174,NA,2001-08-22
3175,NA,2001-08-22
3176,NA,2001-08-22
3177,NA,2001-08-22
3178,NA,2001-08-22
3179,NA,2001-08-22
3180,NA,2001-08-22
3181,NA,2001-08-22
3182,NA,2001-08-22
3183,NA,2001-08-22
3184,NA,2001-08-22
3185,NA,2001-08-22
3186,NA,2001-08-22
3296,NA,2001-08-21
3297,NA,2001-08-21
3298,NA,2001-08-21
3299,NA,2001-08-21
3300,NA,2001-08-21
3301,NA,2001-08-21
3302,NA,2001-08-21
3303,NA,2001-08-21
3304,NA,2001-08-21
3305,NA,2001-08-21
3306,NA,2001-08-21
3307,NA,2001-08-21
3308,NA,2001-08-21
3309,NA,2001-08-21
3310,NA,2001-08-21
3311,NA,2001-08-21
3312,NA,2001-08-21
3313,NA,2001-08-21
3314,NA,2001-08-21
3315,NA,2001-08-21
3316,NA,2001-08-21
3317,NA,2001-08-21
3318,NA,2001-08-21
3319,NA,2001-08-21
3320,NA,2001-08-21
3321,NA,2001-08-21
3322,NA,2001-08-21
3323,NA,2001-08-21
3324,NA,2001-08-21
3325,NA,2001-08-21
3326,NA,2001-08-21
3327,NA,2001-08-21
3328,NA,2001-08-21
3329,NA,2001-08-21
3330,NA,2001-08-21
4053,NA,2001-04-11
4054,NA,2001-04-11
4055,NA,2001-04-11
4056,NA,2001-04-11
4057,NA,2001-04-11
4058,NA,2001-04-11
4059,NA,2001-04-11
4060,NA,2001-04-11
4061,NA,2001-04-11
4062,NA,2001-04-11
4063,NA,2001-04-11
4064,NA,2001-04-11
4065,NA,2001-04-11
4066,NA,2001-04-11
4067,NA,2001-04-11
4068,NA,2001-04-11
4069,NA,2001-04-11
4070,NA,2001-04-11
4071,NA,2001-04-11
4072,NA,2001-04-11
4073,NA,2001-04-11
4074,NA,2001-04-11
4075,NA,2001-04-11
4076,NA,2001-04-11
4077,NA,2001-04-11
4078,NA,2001-04-11
4079,NA,2001-04-11
4080,NA,2001-04-11
4081,NA,2001-04-11
4082,NA,2001-04-11
4083,NA,2001-04-11
4084,NA,2001-04-11
4085,NA,2001-04-11
4086,NA,2001-04-11
4087,NA,2001-04-11
4088,NA,2001-04-11
4491,NA,2001-03-13
5217,NA,2002-06-19
5525,NA,2002-06-18
6136,NA,2002-07-18
6137,NA,2002-07-18
6138,NA,2002-07-18
6139,NA,2002-07-18
6140,NA,2002-07-18
6141,NA,2002-07-18
6142,NA,2002-07-18
6143,NA,2002-07-18
6144,NA,2002-07-18
6145,NA,2002-07-18
6146,NA,2002-07-18
6147,NA,2002-07-18
6148,NA,2002-07-18
