row_id,date,site_id,species,flag,flag_reason
1,2001-03-14,18,chinook salmon,PASS,NA
2,2001-03-14,18,chinook salmon,PASS,NA
3,2001-03-14,18,steelhead trout (wild),PASS,NA
4,2001-03-14,19,NA,PASS,NA
5,2001-03-14,20,NA,PASS,NA
6,2001-03-14,21,NA,PASS,NA
7,2001-03-14,22,steelhead trout (wild),REJECT,Missing count
8,2001-03-14,23,NA,PASS,NA
9,2001-03-14,24,NA,PASS,NA
10,2001-03-14,25,chinook salmon,PASS,NA
11,2001-03-14,26,steelhead trout (wild),PASS,NA
12,NA,27,chinook salmon,PASS,NA
13,2001-03-14,27,chinook salmon,PASS,NA
14,2001-03-14,28,chinook salmon,PASS,NA
15,2001-03-14,29,steelhead trout (wild),PASS,NA
16,2001-03-14,29,chinook salmon,PASS,NA
17,2001-03-14,29,chinook salmon,PASS,NA
18,2001-03-14,29,chinook salmon,PASS,NA
19,2001-03-14,29,chinook salmon,PASS,NA
20,2001-03-14,30,steelhead trout (wild),PASS,NA
21,2001-03-14,30,chinook salmon,PASS,NA
22,2001-03-14,31,NA,PASS,NA
23,2001-03-14,32,NA,PASS,NA
24,2001-03-14,33,steelhead trout (wild),PASS,NA
25,2001-03-14,34,steelhead trout (wild),PASS,NA
26,2001-03-14,34,steelhead trout (wild),PASS,NA
27,2001-03-14,35,NA,PASS,NA
28,2001-03-14,36,NA,PASS,NA
29,2001-03-14,37,chinook salmon,PASS,NA
30,2001-03-14,37,chinook salmon,PASS,NA
31,2001-03-14,37,steelhead trout (wild),PASS,NA
32,2001-03-14,38,chinook salmon,PASS,NA
33,2001-03-14,39,NA,PASS,NA
34,2001-03-14,40,NA,PASS,NA
35,2001-03-14,41,chinook salmon,PASS,NA
36,2001-03-14,42,chinook salmon,PASS,NA
37,2001-03-14,42,steelhead trout (wild),PASS,NA
38,2001-03-14,43,NA,PASS,NA
39,2001-03-14,44,chinook salmon,PASS,NA
40,2001-03-14,45,chinook salmon,PASS,NA
41,2001-03-14,46,steelhead trout (wild),PASS,NA
42,2001-03-14,46,chinook salmon,PASS,NA
43,2001-03-14,46,steelhead trout (wild),PASS,NA
44,2001-03-14,47,NA,PASS,NA
45,2001-03-14,48,chinook salmon,PASS,NA
46,2001-03-14,48,chinook salmon,PASS,NA
47,2001-03-14,49,NA,PASS,NA
48,2001-03-14,50,chinook salmon,PASS,NA
49,2001-03-14,50,chinook salmon,PASS,NA
50,2001-03-14,50,chinook salmon,PASS,NA
51,2001-03-14,50,chinook salmon,PASS,NA
52,2001-03-14,50,steelhead trout (wild),PASS,NA
