micro_hab_data_tbl_id,species_original,date
19,NA,2001-03-14
20,NA,2001-03-14
21,NA,2001-03-14
23,NA,2001-03-14
24,NA,2001-03-14
31,NA,2001-03-14
32,NA,2001-03-14
35,NA,2001-03-14
36,NA,2001-03-14
39,NA,2001-03-14
40,NA,2001-03-14
43,NA,2001-03-14
47,NA,2001-03-14
49,NA,2001-03-14
51,NA,2001-03-14
52,NA,2001-03-14
55,NA,2001-03-15
56,NA,2001-03-15
57,NA,2001-03-15
58,NA,2001-03-15
59,NA,2001-03-15
60,NA,2001-03-15
61,NA,2001-03-15
62,NA,2001-03-15
64,NA,2001-03-15
66,NA,2001-03-15
67,NA,2001-03-15
68,NA,2001-03-15
69,NA,2001-03-15
70,NA,2001-03-15
71,NA,2001-03-15
72,NA,2001-03-15
73,NA,2001-03-15
75,NA,2001-03-15
77,NA,2001-03-15
78,NA,2001-03-15
79,NA,2001-08-20
80,NA,2001-08-20
81,NA,2001-08-20
82,NA,2001-08-20
83,NA,2001-08-20
84,NA,2001-08-20
85,NA,2001-08-20
86,NA,2001-08-20
87,NA,2001-08-20
88,NA,2001-08-20
89,NA,2001-08-20
90,NA,2001-08-20
91,NA,2001-08-20
92,NA,2001-08-20
93,NA,2001-08-20
94,NA,2001-08-20
95,NA,2001-08-20
96,NA,2001-08-20
97,NA,2001-08-20
98,NA,NA
99,NA,2001-08-20
100,NA,2001-08-20
101,NA,2001-08-20
102,NA,2001-08-20
103,NA,2001-08-20
104,NA,2001-08-20
105,NA,2001-08-20
106,NA,2001-08-20
107,NA,2001-08-20
108,NA,2001-08-20
109,NA,2001-08-20
110,NA,2001-08-20
111,NA,2001-08-20
112,NA,2001-08-20
113,NA,2001-08-20
114,NA,2001-08-20
115,NA,2001-08-20
117,NA,2001-08-20
118,NA,2001-08-20
119,NA,2001-08-20
120,NA,2001-08-20
121,NA,2001-08-20
122,NA,2001-08-20
123,NA,2001-08-20
124,NA,2001-08-20
125,NA,2001-08-20
126,NA,2001-08-20
127,NA,2001-08-20
128,NA,2001-08-20
129,NA,2001-08-20
130,NA,2001-08-20
131,NA,2001-08-20
132,NA,2001-08-20
134,NA,2001-08-20
135,NA,2001-08-20
136,NA,2001-08-20
137,NA,2001-08-20
138,NA,2001-08-20
139,NA,2001-08-20
140,NA,2001-08-20
143,NA,2001-08-20
144,NA,2001-08-20
145,NA,2001-08-20
146,NA,2001-08-20
147,NA,2001-08-20
148,NA,2001-08-20
149,NA,2001-08-20
150,NA,2001-08-20
151,NA,2001-08-20
152,NA,2001-08-20
153,NA,2001-08-20
154,NA,2001-08-20
155,NA,2001-08-20
156,NA,2001-08-20
157,NA,2001-08-20
158,NA,2001-08-20
159,NA,2001-08-20
160,NA,2001-08-20
161,NA,2001-08-20
162,NA,2001-08-20
163,NA,2001-08-20
164,NA,2001-08-20
165,NA,2001-08-20
166,NA,2001-08-20
167,NA,2001-08-20
168,NA,2001-08-20
169,NA,2001-08-20
170,NA,2001-08-20
171,NA,2001-08-20
172,NA,2001-08-20
173,NA,2001-08-20
174,NA,2001-08-20
175,NA,2001-08-20
176,NA,2001-08-20
177,NA,2001-08-20
178,NA,2001-08-20
179,NA,2001-08-20
180,NA,2001-08-20
181,NA,2001-08-20
182,NA,2001-08-20
183,NA,2001-08-20
184,NA,2001-08-20
185,NA,2001-08-20
186,NA,2001-08-20
187,NA,2001-08-20
188,NA,2001-08-20
189,NA,2001-08-20
190,NA,2001-08-20
191,NA,2001-08-20
192,NA,2001-08-20
193,NA,2001-08-20
194,NA,2001-08-20
195,NA,2001-08-20
196,NA,2001-08-20
197,NA,2001-08-20
198,NA,2001-08-20
199,NA,2001-08-20
200,NA,2001-08-20
201,NA,2001-08-20
202,NA,2001-08-20
203,NA,2001-08-20
204,NA,2001-08-20
205,NA,2001-08-20
206,NA,2001-08-20
207,NA,2001-08-20
208,NA,2001-08-20
209,NA,2001-08-20
210,NA,2001-08-20
211,NA,2001-08-20
212,NA,2001-08-20
213,NA,2001-08-20
214,NA,2001-08-20
215,NA,2001-08-20
216,NA,2001-08-20
217,NA,2001-08-20
218,NA,2001-08-20
219,NA,2001-08-20
220,NA,2001-08-20
221,NA,2001-08-20
222,NA,2001-08-20
223,NA,2001-08-20
224,NA,2001-08-20
225,NA,2001-08-20
226,NA,2001-08-20
227,NA,2001-08-20
228,NA,2001-08-20
229,NA,2001-08-20
230,NA,2001-08-20
231,NA,2001-08-20
232,NA,2001-08-20
233,NA,2001-08-20
234,NA,2001-08-20
235,NA,2001-08-20
236,NA,2001-08-20
237,NA,2001-08-20
238,NA,2001-08-20
239,NA,2001-08-20
240,NA,2001-08-20
241,NA,2001-08-20
242,NA,2001-08-20
243,NA,2001-08-20
244,NA,2001-08-20
245,NA,2001-08-20
246,NA,2001-08-20
247,NA,2001-08-20
