micro_hab_data_tbl_id,location_table_id,transect_code,fish_data_id,date,count,species,fl_mm,dist_to_bottom,depth,focal_velocity,velocity,surface_turbidity,percent_fine_substrate,percent_sand_substrate,percent_small_gravel_substrate,percent_large_gravel_substrate,percent_cobble_substrate,percent_boulder_substrate,percent_no_cover_inchannel,percent_small_woody_cover_inchannel,percent_large_woody_cover_inchannel,percent_submerged_aquatic_veg_inchannel,percent_undercut_bank,percent_no_cover_overhead,percent_cover_half_meter_overhead,percent_cover_more_than_half_meter_overhead,channel_geomorphic_unit,date_format_raw
18,11,0.1,21,2001-03-14,2,chinook salmon,35,1,17,0.94,0.22,20,0,40,20,30,10,0,75,15,0,10,0,100,0,0,glide,yyyy-mm-dd
18,11,0.1,22,2001-03-14,3,chinook salmon,35,1.5,17,0.16,0.22,20,0,40,20,30,10,0,75,15,0,10,0,100,0,0,glide,yyyy-mm-dd
18,11,0.1,23,2001-03-14,1,steelhead trout (wild),25,1.5,17,0.16,0.22,20,0,40,20,30,10,0,75,15,0,10,0,100,0,0,glide,mm/dd/yyyy
19,11,0.2,,2001-03-14,0,,,,19,,0.35,30,0,50,40,10,0,0,100,0,0,0,0,100,0,0,glide,yyyy-mm-dd
20,11,0.3,,2001-03-14,0,,,,11,,1.95,30,0,25,75,0,0,0,100,0,0,0,0,100,0,0,glide,yyyy-mm-dd
21,11,0.4,,2001-03-14,0,,,,12,,2.14,30,0,0,80,20,0,0,100,0,0,0,0,100,0,0,glide,yyyy-mm-dd
22,11,3.1,25,2001-03-14,,steelhead trout (wild),25,1,11,0.18000001,1.19,10,0,70,30,0,0,0,10,20,40,30,0,100,0,0,glide margin,yyyy-mm-dd
23,11,3.2,,2001-03-14,0,,,,10,,1.54,10,0,30,50,20,0,0,100,0,0,0,0,100,0,0,glide,yyyy-mm-dd
24,11,3.3,,2001-03-14,0,,,,8,,1.26,10,0,0,60,40,0,0,100,0,0,0,0,100,0,0,glide,yyyy-mm-dd
25,11,3.4,11,2001-03-14,1,chinook salmon,40,0.5,9,0.50999999,1.97,10,0,0,70,30,0,0,100,0,0,0,0,100,0,0,glide,yyyy-mm-dd
26,11,6.1,28,2001-03-14,20,steelhead trout (wild),25,0.5,10,0.75,0.75,0,40,0,40,20,15,0,50,10,0,40,0,75,25,0,glide margin,yyyy-mm-dd
27,11,6.2,29,,25,chinook salmon,35,1.5,19,1.42,0.89,10,0,60,30,10,0,0,100,0,0,0,0,100,0,0,glide margin,yyyy-mm-dd
27,11,6.2,30,2001-03-14,2,chinook salmon,50,1.5,19,1.42,0.89,10,0,60,30,10,0,0,100,0,0,0,0,100,0,0,glide margin,yyyy-mm-dd
28,11,6.3,24,2001-03-14,2,chinook salmon,35,0.5,19,0.73000002,0.75,20,0,30,50,20,0,0,100,0,0,0,0,100,0,0,glide,yyyy-mm-dd
