attributeName,attributeDefinition,class,unit,dateTimeFormatString,missingValueCode,missingValueCodeExplanation
micro_hab_data_tbl_id,TODO: define,integer,,,,
location_table_id,TODO: define,integer,,,,
transect_code,TODO: define,character,,,,
fish_data_id,TODO: define,integer,,,,
date,TODO: define,Date,,,,
count,TODO: define,integer,,,,
species,TODO: define,character,,,,
fl_mm,TODO: define,numeric,,,,
dist_to_bottom,TODO: define,numeric,,,,
depth,TODO: define,numeric,,,,
focal_velocity,TODO: define,numeric,,,,
velocity,TODO: define,numeric,,,,
surface_turbidity,TODO: define,numeric,,,,
percent_fine_substrate,TODO: define,numeric,,,,
percent_sand_substrate,TODO: define,numeric,,,,
percent_small_gravel_substrate,TODO: define,numeric,,,,
percent_large_gravel_substrate,TODO: define,numeric,,,,
percent_cobble_substrate,TODO: define,numeric,,,,
percent_boulder_substrate,TODO: define,numeric,,,,
percent_no_cover_inchannel,TODO: define,numeric,,,,
percent_small_woody_cover_inchannel,TODO: define,numeric,,,,
percent_large_woody_cover_inchannel,TODO: define,numeric,,,,
percent_submerged_aquatic_veg_inchannel,TODO: define,numeric,,,,
percent_undercut_bank,TODO: define,numeric,,,,
percent_no_cover_overhead,TODO: define,numeric,,,,
percent_cover_half_meter_overhead,TODO: define,numeric,,,,
percent_cover_more_than_half_meter_overhead,TODO: define,numeric,,,,
channel_geomorphic_unit,TODO: define,character,,,,
date_format_raw,TODO: define,character,,,,
